frase,situacao
sinto dor no peito e falta de ar,alto risco
tive um leve incômodo nas costas,baixo risco
meu coração está acelerado e sinto tontura,alto risco
sinto um cansaço leve depois de caminhar,baixo risco
perdi o apetite e estou com náuseas,alto risco
senti uma pontada na perna,baixo risco
minha pressão arterial está muito alta,alto risco
estou com um resfriado comum,baixo risco
falta de ar intensa e dor no braço esquerdo,alto risco
dor de cabeça leve,baixo risco
dificuldade para respirar e tosse persistente,alto risco
pequeno corte no dedo,baixo risco
visão turva e desmaios frequentes,alto risco
dores musculares após exercício,baixo risco
paralisia facial súbita,alto risco
leve dor de garganta,baixo risco
hemorragia interna e choque,alto risco
joelho inchado após torção,baixo risco
convulsões e perda de consciência,alto risco
mancha roxa no braço,baixo risco

